球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
詹姆斯-哈登,16-17,负,快船125-96火箭,1,24,22.20%,2,9,16.70%,1,6,64.30%,9,14,7,1,6,6,1,0,5,5,14
詹姆斯-哈登,16-17,胜,国王128-135火箭,1,36,40.90%,9,22,38.50%,5,13,92.30%,12,13,11,0,11,15,1,0,10,2,35
詹姆斯-哈登,16-17,负,活塞114-109火箭,1,38,40.00%,10,25,36.80%,7,19,85.70%,6,7,9,2,7,12,0,1,1,4,33
詹姆斯-哈登,16-17,胜,掘金104-110火箭,1,39,42.10%,8,19,40.00%,4,10,73.30%,11,15,7,0,7,10,1,3,4,3,31
詹姆斯-哈登,16-17,负,勇士107-98火箭,1,35,23.50%,4,17,22.20%,2,9,100.00%,7,7,12,4,8,8,0,1,6,3,17
詹姆斯-哈登,16-17,负,开拓者117-107火箭,1,37,36.70%,11,30,15.40%,2,13,85.70%,6,7,8,2,6,4,1,0,6,2,30
詹姆斯-哈登,16-17,负,勇士113-106火箭,1,38,25.00%,5,20,11.10%,1,9,100.00%,13,13,11,3,8,13,1,0,6,1,24
詹姆斯-哈登,16-17,胜,雷霆125-137火箭,1,36,53.30%,8,15,25.00%,2,8,80.00%,4,5,5,0,5,12,0,0,5,5,22
詹姆斯-哈登,16-17,胜,鹈鹕107-117火箭,1,38,50.00%,12,24,41.70%,5,12,81.80%,9,11,7,1,6,17,2,1,3,2,38
詹姆斯-哈登,16-17,胜,掘金124-125火箭,1,40,44.80%,13,29,36.40%,4,11,81.80%,9,11,7,1,6,11,4,0,6,4,39
詹姆斯-哈登,16-17,胜,掘金105-109火箭,1,37,47.80%,11,23,37.50%,3,8,88.20%,15,17,10,0,10,10,2,0,8,3,40
詹姆斯-哈登,16-17,负,鹈鹕128-112火箭,1,40,57.10%,12,21,40.00%,4,10,92.90%,13,14,14,2,12,11,2,0,5,2,41
詹姆斯-哈登,16-17,胜,湖人100-139火箭,1,31,50.00%,6,12,16.70%,1,6,71.40%,5,7,12,3,9,13,2,0,9,2,18
詹姆斯-哈登,16-17,胜,骑士112-117火箭,1,40,46.40%,13,28,28.60%,4,14,66.70%,8,12,10,3,7,11,1,1,4,2,38
詹姆斯-哈登,16-17,胜,公牛94-115火箭,1,33,37.50%,6,16,33.30%,3,9,80.00%,4,5,7,0,7,13,3,0,6,3,19
詹姆斯-哈登,16-17,负,爵士115-108火箭,1,37,45.50%,10,22,0.00%,0,8,93.80%,15,16,4,0,4,6,2,1,6,1,35
詹姆斯-哈登,16-17,负,马刺112-110火箭,1,36,65.00%,13,20,66.70%,6,9,87.50%,7,8,3,1,2,12,0,0,7,2,39
詹姆斯-哈登,16-17,胜,灰熊108-123火箭,1,36,60.00%,9,15,60.00%,6,10,69.20%,9,13,7,1,6,11,2,0,5,2,33
詹姆斯-哈登,16-17,胜,快船103-122火箭,1,36,46.70%,7,15,44.40%,4,9,100.00%,8,8,3,0,3,9,1,0,7,4,26
詹姆斯-哈登,16-17,负,步行者117-108火箭,1,39,29.40%,5,17,11.10%,1,9,82.40%,14,17,7,1,6,12,2,0,2,2,25
詹姆斯-哈登,16-17,胜,森林狼130-142火箭,1,35,40.00%,6,15,45.50%,5,11,70.00%,7,10,5,0,5,10,2,1,7,1,24
詹姆斯-哈登,16-17,胜,鹈鹕99-129火箭,1,30,33.30%,3,9,16.70%,1,6,100.00%,6,6,4,0,4,14,3,0,4,1,13
詹姆斯-哈登,16-17,负,热火117-109火箭,1,42,47.60%,10,21,40.00%,4,10,87.50%,14,16,12,3,9,12,0,1,4,5,38
詹姆斯-哈登,16-17,胜,太阳102-133火箭,1,29,52.90%,9,17,53.30%,8,15,87.50%,14,16,6,1,5,8,0,0,8,2,40
詹姆斯-哈登,16-17,胜,黄蜂95-107火箭,1,39,38.10%,8,21,44.40%,4,9,83.30%,10,12,11,1,10,8,1,1,9,4,30
詹姆斯-哈登,16-17,胜,魔术104-128火箭,1,36,28.60%,6,21,30.00%,3,10,71.40%,10,14,6,1,5,13,3,0,4,1,25
