date,station,city,pressure,wind_speed,wind_direction,temperature,humidity,rain20,rain08,cloud,visibility,phenomenon
20130204,504,E,844.2,2,999004,1.9,42,0,0,33,12000,"03,"
20130205,201,B,1009.8,3.3,999004,22.6,94,0.1,999990,73,3000,"10,60,"
20130205,501,E,788,4.8,999008,-1.9,38,0,0,60,20000,"03,"
20130205,502,E,811.3,5.5,999014,0.5,36,0,0,40,30000,"03,"
20130205,503,E,833.8,4.9,999003,-1.8,33,0,0,3,15000,"03,"
20130205,504,E,849.2,1.9,999010,2.8,31,0,0,17,15000,"03,"
20130206,201,B,1008.3,4.7,999010,22.1,88,0,0,83,14000,"10,"
20130206,501,E,786.2,4.1,999006,-2.3,40,0,0,100,20000,"03,"
20130206,502,E,809.2,4.1,999015,-2.2,44,0,0,93,20000,"03,"
20130206,503,E,831.9,4,999003,-1.5,34,0,0,75,15000,"03,"
20130206,504,E,847.1,2.3,999005,1.8,37,0,0,100,15000,"03,"
20130207,201,B,1006.1,4.3,999004,20.4,91,0,999990,65,7000,"10,"
20130207,501,E,789.1,4.8,999009,-3.9,43,999990,999990,100,20000,"03,"
20130207,502,E,812.7,5.7,999015,-2.3,42,999990,999990,100,20000,"03,"
20130207,503,E,836,5.2,999002,-1.9,36,999990,999990,100,15000,"03,"
20130207,504,E,851.4,3.7,999002,1.2,33,999990,999990,100,20000,"03,"
20130208,201,B,1011,5.1,999002,15.8,94,999990,999990,100,10000,"60,"
20130208,501,E,792.1,4.8,999008,-5.8,59,999990,999990,100,25000,"03,70,"
20130208,502,E,816,4.2,999015,-3.8,48,999990,0,90,35000,"03,70,"
20130208,503,E,838.9,5,999001,-3.6,44,0,0,65,15000,"03,"
20130208,504,E,854.6,2.5,999002,0,35,0,0,77,20000,"03,"
20130209,201,B,1015.5,5.4,999002,11.7,73,999990,0,100,21000,"60,"
20130209,501,E,786.6,6.6,999012,-2.4,51,999990,0,37,20000,"03,70,02,"
20130209,502,E,810.5,3.3,999011,-3,45,0,0,35,35000,"03,"
20130209,503,E,832.8,7.1,999011,-3.3,46,0,0,25,15000,"03,"
20130209,504,E,848.5,1.7,999005,0.5,41,0,0,33,11000,"03,"
20130210,201,B,1013.2,3.5,999002,14.1,76,0,0.1,100,7000,
20130210,501,E,784.6,5.3,999007,-3.6,31,0,0,43,25000,"03,"
20130210,502,E,807.9,3.5,999012,-2.2,41,0,0,25,15000,"03,"
20130210,503,E,830.6,5.8,999002,-2.7,36,0,0,0,12000,"03,"
20130210,504,E,845.9,3.4,999003,1.1,35,0,0,0,13000,"03,"
20130211,201,B,1012,4.1,999003,17.4,84,0.1,0,58,5000,"05,10,60,"
20130211,501,E,790.5,6.5,999007,-6.1,50,999990,999990,100,20000,"03,"
20130211,502,E,815,5.7,999002,-4.6,41,0,0,75,12000,"03,"
20130211,503,E,838.2,6.3,999003,-4,37,0,0,75,12000,"03,"
20130211,504,E,853.9,3.7,999003,-1,33,0,0,67,20000,"03,"
20130212,201,B,1012.7,4.7,999001,18.2,78,0,0,68,11000,
20130212,501,E,791,4.4,999008,-7,46,999990,0,73,20000,"03,70,"
20130212,502,E,815.3,4.2,999001,-6.3,46,0,0,100,12000,"03,"
20130212,503,E,838.4,3.4,999001,-6,43,0,0,40,15000,"03,"
20130212,504,E,854.2,2.6,999003,-2.1,37,0,0,67,20000,"03,"
20130213,201,B,1012.6,4.9,999002,16.1,68,0,0,38,15000,
20130213,501,E,786.4,6,999004,-5.9,36,0,0,100,20000,"03,"
20130213,502,E,809.9,3.5,999016,-3.3,39,0,0,100,20000,"03,"
20130213,503,E,832.7,4.8,999003,-3.8,26,0,0,65,20000,"03,"
20130213,504,E,848.3,2.5,999004,0.5,30,0,0,100,15000,"03,"
20130214,201,B,1009.7,3.2,999004,18.6,83,0,0,98,8000,
20130214,501,E,789.2,6,999004,-6.1,43,0,0,87,20000,"03,"
20130214,502,E,813,3.8,999007,-4.7,35,0,0,50,30000,"03,"
20130214,503,E,835.9,4.3,999004,-3.7,33,0,0,35,15000,"03,"
20130214,504,E,851.6,2.9,999003,-0.9,28,0,0,67,15000,"03,"
20130215,201,B,1009.2,4,999010,20.8,82,0,0,100,8000,"10,"
20130215,501,E,786.1,5.1,999008,-6.1,47,0,0,7,20000,"03,02,"
20130215,502,E,809.7,5.1,999008,-4,44,0,0,15,40000,"03,"
20130215,503,E,832.4,4,999007,-5.4,41,0,0,35,20000,"03,"
20130215,504,E,848,2.3,999003,-0.6,35,0,0,33,20000,"03,"
20130216,201,B,1011.4,3.7,999004,16.7,87,0,0,95,11000,"05,10,"
20130216,501,E,782.3,7.1,999007,-2.5,26,0,0,67,20000,"03,"
20130216,502,E,805.6,5.5,999015,-1.8,53,0,0,75,15000,"03,"
20130216,503,E,827.9,6.6,999003,-1.2,27,0,0,80,12000,"03,"
20130216,504,E,843.3,3.2,999004,2.7,33,0,0,67,15000,"03,"
20130217,201,B,1008.1,3.9,999004,18.5,83,0,0,85,10000,
20130217,501,E,783.8,5.3,999002,-4.9,39,999990,3.2,100,20000,"03,"
20130217,502,E,806.8,7.4,999002,-3,34,0,11.1,100,15000,"03,"
20130217,503,E,829.9,6.2,999002,-1.9,25,0,2.3,100,15000,"03,"
