code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
001896,豫能控股,-0.04,-111.64,,-0.82,,-4881.48,-115.16,,08-31
002936,郑州银行,0.43,7.5,,10.25,,227139.6,7.05,,08-31
601996,丰林集团,0.07,16.67,,3.72,,6681.9,120.25,,08-31
000732,ST泰禾,0.74,18.7,,5.0,,91969.09,18.7,,08-31
000011,深物业A,0.61,-7047.73,,14.25,,36435.58,-7041.82,,08-31
600960,渤海汽车,0.13,111.0,,2.77,,12034.13,268.59,,08-31
000155,川能动力,0.06,-90.77,,2.84,,8217.72,-73.14,,08-31
601169,北京银行,0.58,-17.14,8.11,8.21,0.39,1107900.0,4.31,,08-31
600039,四川路桥,0.12,4.37,,3.82,,37489.78,4.39,,08-31
000625,长安汽车,0.96,-18.64,,10.42,,462054.57,-15.85,,08-31
601828,美凯龙,0.56,-11.11,,5.46,0.69,204517.11,-9.91,,08-31
688819,天能股份,,,,,,46184.27,4.47,,08-31
000903,云内动力,0.1,-30.66,,3.66,,16663.03,52.08,,08-31
300701,森霸传感,0.46,,2.81,16.23,0.46,2752.93,,,08-31
601258,庞大集团,0.04,300.0,,2.25,,29659.34,379.58,,08-31
600746,江苏索普,0.2,344.37,,12.89,,6047.22,344.5,,08-31
600072,中船科技,0.02,-116.98,,0.37,,1341.48,-126.54,,08-31
000707,双环科技,0.09,280.18,,4.4,,4007.04,280.12,,08-31
603042,华脉科技,0.42,11.91,,8.44,,4551.18,18.13,,08-31
600997,开滦股份,0.15,275.0,,2.6,,22663.58,319.0,,08-31
600331,宏达股份,0.06,396.77,,2.61,,12512.2,395.15,,08-31
600345,长江通信,0.6,361.54,,8.82,,11972.31,376.42,,08-31
600428,中远海特,0.03,1600.0,,0.77,,7224.38,1538.04,,08-31
000829,天音控股,0.01,-131.25,,0.26,,579.96,-118.72,,08-31
600734,ST实达,0.08,-61.84,,1.92,,5221.04,-39.47,,08-31
601398,工商银行,0.43,2.38,5.42,7.85,,15299500.0,1.85,,08-31
002555,三七互娱,0.41,74.68,,17.18,,85055.05,75.01,,08-31
000593,德龙汇能,0.03,18.18,,0.84,,933.47,42.12,,08-31
601877,正泰电器,0.6,-1.64,,7.13,,125645.43,56.62,,08-31
